Gen-CAST256 r=17 plaintext = [0, 0, a, 0] ciphertext = [0, a, 0, 0] : true
Gen-CAST256 r=17 plaintext = [0, a, 0, 0] ciphertext = [a, 0, 0, 0] : true
Gen-CAST256 r=17 plaintext = [a, 0, 0, 0] ciphertext = [0, 0, 0, a] : true
Gen-CAST256 r=17 plaintext = [a, a, 0, 0] ciphertext = [0, 0, 0, a] : true
Gen-CAST256 r=17 plaintext = [0, a, a, 0] ciphertext = [a, 0, 0, 0] : true
Gen-CAST256 r=17 plaintext = [a, 0, a, 0] ciphertext = [0, 0, 0, a] : true


Gen-CAST256 r=18 plaintext = [0, 0, a, 0] ciphertext = [a, 0, 0, 0] : true
Gen-CAST256 r=18 plaintext = [0, a, 0, 0] ciphertext = [0, 0, 0, a] : true
Gen-CAST256 r=18 plaintext = [0, a, a, 0] ciphertext = [0, 0, 0, a] : true

Gen-CAST256 r=19 plaintext = [0, 0, a, 0] ciphertext = [0, 0, 0, a] : true



Misty r=4 plaintext = [0, a] ciphertext = [a, a] : true
Misty r=4 plaintext = [0, a] ciphertext = [b, b] : true
Misty r=4 plaintext = [0, b] ciphertext = [a, a] : true
Misty r=4 plaintext = [0, b] ciphertext = [b, b] : true




Gen-Skipjack r=16 plaintext = [0, 0, 0, a] ciphertext = [a, 0, 0, a] : true
Gen-Skipjack r=16 plaintext = [0, 0, 0, a] ciphertext = [b, 0, 0, b] : true
Gen-Skipjack r=16 plaintext = [0, 0, 0, b] ciphertext = [a, 0, 0, a] : true
Gen-Skipjack r=16 plaintext = [0, 0, 0, b] ciphertext = [b, 0, 0, b] : true



Four-Cell r=18 plaintext = [a, 0, 0, 0] ciphertext = [a, a, 0, 0] : true
Four-Cell r=18 plaintext = [a, 0, 0, 0] ciphertext = [b, b, 0, 0] : true
Four-Cell r=18 plaintext = [b, 0, 0, 0] ciphertext = [a, a, 0, 0] : true
Four-Cell r=18 plaintext = [b, 0, 0, 0] ciphertext = [b, b, 0, 0] : true








Gen-Mars r=11 plaintext = [0, 0, 0, a] ciphertext = [a, 0, 0, 0] : true
Gen-Mars r=11 plaintext = [0, 0, 0, b] ciphertext = [b, 0, 0, 0] : true



Gen-RC6 r=9 plaintext = [0, 0, 0, a] ciphertext = [a, 0, 0, 0] : true
Gen-RC6 r=9 plaintext = [0, a, 0, 0] ciphertext = [0, 0, a, 0] : true
Gen-RC6 r=9 plaintext = [0, 0, 0, b] ciphertext = [b, 0, 0, 0] : true
Gen-RC6 r=9 plaintext = [0, b, 0, 0] ciphertext = [0, 0, b, 0] : true


SMS4 r=11 plaintext = [a, a, a, 0] ciphertext = [0, a, a, a] : true
SMS4 r=11 plaintext = [b, b, b, 0] ciphertext = [0, b, b, b] : true



1 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
2 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0] : true
3 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0] ciphertext = [0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
4 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0] ciphertext = [0, 0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true



7 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0] ciphertext = [0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
8 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a] ciphertext = [0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true


5 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0] ciphertext = [b, 0, 0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0] : true
6 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0] ciphertext = [0, 0, 0, 0, b, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0] : true
9 MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, a] ciphertext = [0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
A MIBS r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, a] ciphertext = [0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true

The last 4 lists are latest found.
Done!



1 Camellia r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
2 Camellia r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0] ciphertext = [0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
3 Camellia r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0] ciphertext = [0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
4 Camellia r=8 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0] ciphertext = [0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
Done!




1 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
2 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
3 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
4 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
5 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
6 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
7 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, b, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
8 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
9 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, 0, 0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0] : true
10 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0] ciphertext = [b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
11 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0] ciphertext = [0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
12 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
13 LBlock r=14 plaintext = [0, 0, 0, 0, 0, 0, 0, 0, 0, a, 0, 0, 0, 0, 0, 0] ciphertext = [0, 0, 0, b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] : true
